Property,Address,Area,Build Year,Price Range,Units,Developer,Marketing/Leasing Contact,Title,Email,Executive Contact,Executive Title,Executive Email,Outreach Stage,Has Address,Has Build Year,Has Price Range,Has Contact Email
Estela,"414-445 Gerard Avenue, Bronx, NY 10451",,2023,"$2,900-$5,500",544,Domain Companies,Jason Hill,Marketing Director,jhill@thedomaincos.com,,,,,Yes,Yes,Yes,Yes
EVGB,"510 East 14th Street, New York, NY 10009",,2018,"$5,175-$9,785",110,Extell Development,Tamar Rothenberg,Senior VP Marketing,trothenberg@extelldev.com,,,,,Yes,Yes,Yes,Yes
Fiat House,"2100 North Central Road, Fort Lee, NJ 07024",Fort Lee,2024,"$2,500-$5,100",300,UNLIMITED; UNLMTD Real Estate,Anthony Piscitelli,Director of RE Transactions,apiscitelli@unlmtdrealestate.com,,,,Lost,Yes,Yes,Yes,Yes
Four Williamsburg Wharf,"11 Wharf Way, Brooklyn, NY 11249",Williamsburg,2026,"$4,270-$13,500",183,Naftali Group,Danielle Naftali,EVP of Marketing + Design,dnaftali@naftaligroup.com,Danielle Naftali,"Executive Vice President of Marketing, Sales & Design",,,Yes,Yes,Yes,Yes
Frank,"600 West 58th Street, New York, NY 10019",,2016,"$4,800-$6,923",65,The Durst Organization,,,,Corporate Phone; Dan Mogolesko; Emmanuelle Slossberg; Joy Habian; Sven Leasing Office; Sven Leasing Team,"EVP, Director of Leasing",dmogolesko@durst.org; eslossberg@durst.org; jhabian@durst.org; svenleasing@durst.org,,Yes,Yes,Yes,Yes
Gotham Point,"1-15 57th Ave & 56-27 2nd Street, Long Island City, NY 11101",,2023,"$3,700-$8,200",1132,Gotham Organization,Wiam Riyad,VP of Leasing,wiam.riyad@gothamorg.com,,,,,Yes,Yes,Yes,Yes
Greenpoint Central - 65 Dupont St,"65 Dupont Street, Brooklyn, NY 11222",,2025,"$3,495-$7,600",279,Madison Realty Capital,Jay Heydt,"MD, Sales & Leasing",jheydt@madisonrealtycapital.com,,,,,Yes,Yes,Yes,Yes
Greenpoint Central - 65 Dupont Street,"65 Dupont Street, Brooklyn, NY 11222",Greenpoint,2025,"$3,495-$7,600",279,Madison Realty Capital,Jay Heydt,"MD, Sales & Leasing",jheydt@madisonrealtycapital.com,,,,,Yes,Yes,Yes,Yes
Greenpoint Central - 75 Dupont St,"75 Dupont St, Brooklyn, NY 11222",,2024,"$3,400-$8,600",194,Madison Realty Capital,Jay Heydt,"MD, Sales & Leasing",jheydt@madisonrealtycapital.com,,,,,Yes,Yes,Yes,Yes
Greenpoint Central - 75 Dupont Street,"75 Dupont Street, Brooklyn, NY 11222",Greenpoint,2024,"$4,245-$6,961",194,Madison Realty Capital,Jay Heydt,"MD, Sales & Leasing",jheydt@madisonrealtycapital.com,,,,,Yes,Yes,Yes,Yes
GreyStar Properties,"23 Bloomfield Ave, Flemington, NJ 08822",,2023,"$2,356-$3,381",206,Court Square / GreyStar,,,,,,,,Yes,Yes,Yes,No
Haus 25,"25 Christopher Columbus Drive, Jersey City, NJ 07302",,2022,"$3,300-$8,000",750,Veris Residential,Nicole Jones; Susan Grosso,"SVP, Chief Marketing Officer; VP, Marketing",njones@verisresidential.com; sgrosso@verisresidential.com,,,,,Yes,Yes,Yes,Yes
Hayden,"43-25 Hunter Street, Long Island City, NY 11101",,2017,"$3,777-$4,874",974,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
Helena,"601 West 57th Street, New York, NY 10019",,2005,"$3,300-$10,000",597,The Durst Organization,,,,Corporate Phone; Dan Mogolesko; Emmanuelle Slossberg; Joy Habian; Sven Leasing Office; Sven Leasing Team,"EVP, Director of Leasing",dmogolesko@durst.org; eslossberg@durst.org; jhabian@durst.org; svenleasing@durst.org,,Yes,Yes,Yes,Yes
House 55,"55 Willoughby Street, Brooklyn, NY 11201",Downtown Brooklyn,2026,"$3,250-$8,050",422,Lonicera Partners,Anthony Cekay,"PM, Residential Leasing & Marketing",acekay@lonicerapartners.com,,,,,Yes,Yes,Yes,Yes
Hunter's Point South,"5203 Center Blvd, Long Island City, NY 11101",,2021,"$3,900-$7,600",925,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
iCross,"28-16 42nd Road, Long Island City, NY 11101",,2025,"$4,080-$6,500",74,iCross Capital,John McInerney,Managing Director,john.mcinerney@icrosscapital.com,Lily Guo,Founder and CEO,cs@icross.group,,Yes,Yes,Yes,Yes
Inwood Living,"3880 9th Avenue, New York, NY 10034",Inwood,2025,"$3,125-$6,000",270,The Jay Group,Raymond Werdane; Shimon Drummer,Leasing/Marketing Agent; Director of New Developments,info@bohemiarealty.com; shimon@jaygroupny.com,Jacob Kohn,Principal,info@jaygroupny.com,,Yes,Yes,Yes,Yes
Jackson Park 1/2/3,"28-16 Jackson Avenue, Long Island City, NY 11101",LIC,2018,"$4,099-$8,430",1871,Tishman Speyer,Erik Rose,"Senior MD, Head of Residential Dev",erose@tishmanspeyer.com,,,,,Yes,Yes,Yes,Yes
Jasper,"2-33 50th Avenue, Long Island City, NY 11101",,2025,"$3,675-$8,770",499,LMXD / The Domain Companies,,,,David Dishy,CEO,info@lmdevpartners.com,,Yes,Yes,Yes,Yes
Journal Square URBY,"532 Summit Ave, Jersey City, NJ 07306",,2024,"$2,875-$5,634",317,Ironstate / Veris / Panepinto,Don Rogers,Director of Leasing,drogers@ironstate.com,,,,,Yes,Yes,Yes,Yes
KK Empire,8 Rich Ave,SoHo,2026,9000-20000,860,KK Developments,,,,Krystal,CEO,krystal@nystudents.net,,Yes,Yes,Yes,Yes
Lawrence Tower,"150 Lawrence Street, Brooklyn, NY 11201",Downtown Brooklyn,2025,"$2,970-$9,200",99,TG Developers,Shimshy Braver,General Manager,shimshysfrishtig@gmail.com,Solomon Schwimmer,CEO,sschwimmer@tgany.com,,Yes,Yes,Yes,Yes
Level BK,"2 North 6th Place, Brooklyn, NY 11249",,2017,"$3,000-$10,000",554,Douglaston Development,Graham Christensen,"VP, Market Rate Development",gchristensen@douglastondevelopment.com,Liz Oakley; Steven Charno,Chief Development Officer; President,scharno@douglastondevelopment.com,,Yes,Yes,Yes,Yes
Linc LIC,"43-10 Crescent Street, Long Island City, NY 11101",LIC,2013,"$3,415-$10,441",709,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
Link Apartments QPN,"41-46 27th Street, Long Island City, NY 11101",,2025,"$4,000-$8,000",417,Grubb Properties,,,,Emily Ethridge; Grubb Properties NYC Development Office; Jacqueline Urgo; Lauren Cahill; Link Apartments QPN Leasing Office; The Marketing Directors HQ,Contact,eethridge@grubbproperties.com; jurgo@themarketingdirectorsinc.com; lcahill@grubbproperties.com,,Yes,Yes,Yes,Yes
Link Apartments® QPN,"41-46 27th Street, Long Island City, NY 11101",LIC,2025,"$4,550-$8,045",417,Grubb Properties,,,,Emily Ethridge; Grubb Properties NYC Development Office; Jacqueline Urgo; Lauren Cahill; Link Apartments QPN Leasing Office; The Marketing Directors HQ,Contact,eethridge@grubbproperties.com; jurgo@themarketingdirectorsinc.com; lcahill@grubbproperties.com,,Yes,Yes,Yes,Yes
Loden,"54 Crown Street, Brooklyn, NY 11225",,2025,"$3,420-$6,240",569,Carmel Partners,LinkedIn; Melanie Flaherty,"SVP, Marketing",nancy@nancypackesinc.com; mflaherty@carmelpartners.com,Andrew Barrocas; Brian S. Pun; FSA Capital HQ; Iliana Acevedo; Jen Bucktrout; Liz Tennican; Lumen Leasing Office; MNS Real Estate HQ; Stephanie Andrews,"VP, Marketing",asb@mns.com; brian@fsacapital.com; iliana@mns.com; jbucktrout@carmelpartners.com; ltennican@carmelpartners.com; stephanie@mns.com,,Yes,Yes,Yes,Yes
Longview Brooklyn,"380 4th Avenue, Brooklyn, NY 11215",Gowanus,2025,"$4,299-$7,950",197,Quinlan Development Group,Rafe Evans,"EVP, Commercial Leasing (Walker Malloy)",rafeevans@walkermalloy.com,Timothy C. Quinlan,Principal,info@quinlandev.com,,Yes,Yes,Yes,Yes
Lumen LIC,"23-15 44th Road, Long Island City, NY 11101",LIC,2025,"$3,760-$6,873",938,Carmel Partners,LinkedIn; Melanie Flaherty,"SVP, Marketing",nancy@nancypackesinc.com; mflaherty@carmelpartners.com,Andrew Barrocas; Brian S. Pun; FSA Capital HQ; Iliana Acevedo; Jen Bucktrout; Liz Tennican; Lumen Leasing Office; MNS Real Estate HQ; Stephanie Andrews,"VP, Marketing",asb@mns.com; brian@fsacapital.com; iliana@mns.com; jbucktrout@carmelpartners.com; ltennican@carmelpartners.com; stephanie@mns.com,,Yes,Yes,Yes,Yes
Lyra NYC,"555 W 38th St, New York, NY 10018",,2022,"$4,200-$8,700",590,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
Maison 78,"356 East 78th Street, New York, NY 10075",,2025,"$6,200-$15,000",146,Carmel Partners,LinkedIn; Melanie Flaherty,"SVP, Marketing",nancy@nancypackesinc.com; mflaherty@carmelpartners.com,Andrew Barrocas; Brian S. Pun; FSA Capital HQ; Iliana Acevedo; Jen Bucktrout; Liz Tennican; Lumen Leasing Office; MNS Real Estate HQ; Stephanie Andrews,"VP, Marketing",asb@mns.com; brian@fsacapital.com; iliana@mns.com; jbucktrout@carmelpartners.com; ltennican@carmelpartners.com; stephanie@mns.com,,Yes,Yes,Yes,Yes
Maxwell DTBK,"111 Willoughby Street, Brooklyn, NY 11201",,2025,"$3,300-$6,500",227,Triangle Equities,Brett Goldman,EVP of Leasing and Development,bgoldman@triequities.com,,,,,Yes,Yes,Yes,Yes
Mercedes House,"550 West 54th Street, New York, NY 10019",,2012,"$4,150-$6,175",864,OMG Agency; Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,Won,Yes,Yes,Yes,Yes
Mercedes House (mgmt),"550 W 54th St, New York, NY 10019",,2012,"$4,150-$6,175",864,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
Midwest Court,"410 West 53rd Street, New York, NY 10019",,1987,"$3,200-$6,800",219,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
Miramar,"405-407 West 206th Street, New York, NY 10034",,2025,"$2,755-$4,700",698,LMXD / Taconic / M Squared,,,,,,,,Yes,Yes,Yes,No
Miramar at 405 West 206th St,"405 West 206th Street, New York, NY 10034",,2025,"$2,775-$4,700",698,L&M Development Partners,,,,,,,,Yes,Yes,Yes,No
Miramar at 405 West 206th Street,"405 West 206th Street, New York, NY 10034",Inwood,2025,"$2,775-$4,700",474,L&M Development Partners,,,,,,,,Yes,Yes,Yes,No
Miramar at 407 West 206th St,"407 West 206th Street, New York, NY 10034",,2025,"$2,755-$4,500",224,L&M Development Partners,,,,,,,,Yes,Yes,Yes,No
Miramar at 407 West 206th Street,"407 West 206th Street, New York, NY 10034",Inwood,2025,"$2,755-$4,700",224,L&M Development Partners,,,,,,,,Yes,Yes,Yes,No
Modavie Residences,"54 Crown Street, Brooklyn, NY 11225",Prospect Heights,2025,"$3,795-$7,550",271,Jankos Group,Moshe Kraus,COO and Founder,jankosgroup@gmail.com,,,,,Yes,Yes,Yes,Yes
NEW HAVEN,"19 Elm St, New Haven, CT 06510",,,"$2,215-$5,960",96,8 WEST / Atlantic Capital Properties,Gavin Speaker,Dir. of Construction and Design,gspeaker@atlanticcapitalproperties.com,Jim Meyer,"Founder, Managing Partner",jmeyer@atlanticcapitalproperties.com,,Yes,No,Yes,Yes
NEW HEAVEN,,,2020,,,8 WEST; 8 WEST / Atlantic Capital Properties,Gavin Speaker,Dir. of Construction and Design,gspeaker@atlanticcapitalproperties.com,Jim Meyer,"Founder, Managing Partner",jmeyer@atlanticcapitalproperties.com,Negotiating,No,Yes,No,Yes
Noble Jamaica,"88-36 139th Street, Jamaica, NY 11435",,2024,"$2,400-$4,300",81,ZD Jasper Realty,,,,Andover Property Management Leasing; General Inquiry; General Leasing; Hong Lihua; Jasper Wu; Susan Wu,General; Chief Operations Officer,info@zdjasper.com; leasing@andoverpm.com; lihua@andoverpm.com; jasper@zdjasper.com; west37@zdjasper.com,,Yes,Yes,Yes,Yes
OHM,"312 11th Avenue, New York, NY 10001",,2010,"$3,500-$8,000",369,Douglaston Development,Graham Christensen,"VP, Market Rate Development",gchristensen@douglastondevelopment.com,Liz Oakley; Steven Charno,Chief Development Officer; President,scharno@douglastondevelopment.com,,Yes,Yes,Yes,Yes
One Blue Slip & Two Blue Slip,"1 Blue Slip & 2 Blue Slip, Brooklyn, NY 11222",,2018,"$3,200-$10,700",780,Brookfield Properties,Danielle Nuccio,Marketing Director,danielle.nuccio@brookfieldproperties.com,,,,,Yes,Yes,Yes,Yes
One Carnegie Hill,"215 East 96th Street, New York, NY 10128",,2005,"$3,700-$8,300",261,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
One Central Park West,"1 Central Park West, New York, NY 10023",,1960,"$15,000-$16,000",156,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
One Domino Square - Rentals,"5 South 5th Street, Brooklyn, NY 11249",Williamsburg,2024,"$2,832-$15,495",399,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
One Grove,"215 Grove St, Jersey City, NJ 07302",,2024,"$3,100-$8,100",200,Strategic Capital,David Brown,Deputy Managing Director,info@strategiccapital.com,,,,,Yes,Yes,Yes,Yes
One Hudson Yards,"530 West 30th Street, New York, NY 10001",,2017,"$5,000-$25,000",178,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
One Journal,,,,,,Panepinto; Panepinto Properties,Gabrielle Panepinto Reiser,VP of Marketing & PR,gabrielle.reiser@panprop.com,,,,Negotiating,No,No,No,Yes
ONE LIC,"42-10 27th Street, Long Island City, NY 11101",,2019,"$2,500-$8,000",110,Lions Group,Aaron Shirian,Managing Director,aaron.shirian@lionsgroupnyc.com,,,,,Yes,Yes,Yes,Yes
One Manhattan Square,"252 South Street, New York, NY 10002",,2019,"$5,150-$22,750",815,Extell Development,Tamar Rothenberg,Senior VP Marketing,trothenberg@extelldev.com,,,,,Yes,Yes,Yes,Yes
One South First,"1 South 1st Street, Brooklyn, NY 11249",,2019,"$4,000-$12,000",332,Two Trees Management,Allison Bevilaqua; Michaella Solar-March,Senior Director of Marketing; Chief Marketing Officer,abevilaqua@twotreesny.com; msolarmarch@twotreesny.com,,,,,Yes,Yes,Yes,Yes
One Sunset,"201 25th Street, Brooklyn, NY 11232",Greenwood,2025,"$3,489-$7,675",187,Ailanthus / BEB Capital / SK Dev; Ailanthus; BEB Capital; SK Development,Dan Penaro,Asset Manager,dpenaro@bebcapital.com,Lee Brodsky,CEO (BEB Capital),lbrodsky@bebcapital.com,,Yes,Yes,Yes,Yes
One Union Square South,"1 Union Square South, New York, NY 10003",,1998,"$5,000-$15,000",240,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
Park & Shore,"75 Park Ln S & 2 Shore Ln, Jersey City, NJ 07310",,2019,"$4,000-$6,500",429,Strategic Capital,David Brown,Deputy Managing Director,info@strategiccapital.com,,,,,Yes,Yes,Yes,Yes
Park 23,"295 Park Avenue South, New York, NY 10010",,1900,"$3,700-$8,000",179,Abington Properties,Sal Costa,Director of Leasing,sal@abingtonholding.net,,,,,Yes,Yes,Yes,Yes
Park Francis,"235 Pavonia Avenue, Jersey City, NJ 07302",,2017,"$3,100-$5,750",99,SILVERMAN,Joseph Ratner; Patrick James Jr.,Leasing; Dir. of Property Management,joeratner@silvermangroup.net; patrick@silvermanbuilding.com,Eric Silverman,Principal,eric@silvermanbuilding.com,,Yes,Yes,Yes,Yes
Parkside Manor,"148-33 90th Avenue, Jamaica, NY 11435",,2023,"$2,500-$3,550",90,ZD Jasper Realty,,,,Andover Property Management Leasing; General Inquiry; General Leasing; Hong Lihua; Jasper Wu; Susan Wu,General; Chief Operations Officer,info@zdjasper.com; leasing@andoverpm.com; lihua@andoverpm.com; jasper@zdjasper.com; west37@zdjasper.com,,Yes,Yes,Yes,Yes
Pearl House,"160 Water Street, New York, NY 10038",,2024,"$4,375-$5,510",588,Vanbarton Group,Frank Scaffa,"Dir. of Operations, PM & Construction (East Coast)",fscaffa@vanbartongroup.com,,,,,Yes,Yes,Yes,Yes
Plank Road,"662 Pacific Street, Brooklyn, NY 11217",,2022,"$3,350-$7,700",312,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
Plaza 8,"242 Hudson St, Jersey City, NJ",,,,678,Panepinto; Panepinto Properties,Gabrielle Panepinto Reiser,VP of Marketing & PR,gabrielle.reiser@panprop.com,,,,Negotiating,Yes,No,No,Yes
Plaza East,"340 East 34th Street, New York, NY 10016",,1962,"$3,595-$5,035",198,TF Cornerstone,Nenad Jerzabek,Leasing Manager,nenad.jerzabek@tfc.com,Frederick Elghanayan; Jake Elghanayan; Jared Brown; Jeremy Shell; Sofia Estevez; Steve Gonzalez; Steve N. Gonzalez,Chairman,felghanayan@tfc.com; jelghanayan@tfc.com; jared.brown@tfc.com; jshell@tfc.com; sestevez@tfc.com; sgonzalez@tfc.com; sgonzalez@tfc.com,,Yes,Yes,Yes,Yes
Prosper Brooklyn,"1042 Atlantic Avenue, Brooklyn, NY 11238",Crown Heights,2025,"$3,460-$6,700",237,EMP Atlantic LP; EMP Capital Group,Dylan Angarella; Iliana Acevedo,Vice President of Development; Senior VP New Development (MNS),info@empcapitalgroup.com; iacevedo@mns.com,Elie Pariente,Principal,epariente@empcapitalgroup.com,,Yes,Yes,Yes,Yes
Rise LIC,"29-17 40th Avenue, Long Island City, NY 11101",,2021,"$3,200-$7,000",103,SB Development / Hazelton Capital,General Contact,Operations,info@sbdevelopmentgroup.com,,,,,Yes,Yes,Yes,Yes
Riverwalk Heights,"430 Main Street, New York, NY 10044",,2025,"$3,700-$7,300",357,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
Royce Tower,666 royce ave,Midtown,2025,"10,000 - 50,000",600,Royce Developer,,,,Royce,CEO,royhuang0103@gmail.com,,Yes,Yes,Yes,Yes
Sable NJ,"200 Greene Street, Jersey City, NJ 07311",,2017,"$2,940-$5,830",762,Veris Residential,Nicole Jones; Susan Grosso,"SVP, Chief Marketing Officer; VP, Marketing",njones@verisresidential.com; sgrosso@verisresidential.com,,,,Meeting,Yes,Yes,Yes,Yes
Silverstar,"37-14 36th Street, Long Island City, NY 11101",,2017,"$2,600-$5,700",85,SB Development,,,,,,,,Yes,Yes,Yes,No
Society Brooklyn at Degraw,"500 Degraw Street, Brooklyn, NY 11217",Gowanus,2025,"$3,995-$6,900",344,PMG,Anita D.; Kevin Maloney,Portfolio Leasing Director; CEO,anita@propertymg.com; kmaloney@propertymg.com,Amy Schulman; Brett Solomon; Ofer Yardeni; Ryan Shear; Steve Brecker; Stonehenge Management Office; Veronica Gorson,"Managing Director, Development Sales & Marketing",aschulman@stonehengenyc.com; bsolomon@stonehengenyc.com; ofer@stonehengeinvestment.com; rshear@propertymg.com; sbrecker@elliman.com,,Yes,Yes,Yes,Yes
SOLA WOODSIDE,"72-01 Queens Blvd, Woodside, NY 11377",,2024,"$2,875-$4,950",364,8 WEST; 8 WEST / Atlantic Capital Properties; The Hakimian Organization,Gavin Speaker; Janalys Capellan,Dir. of Construction and Design; Real Estate Manager,gspeaker@atlanticcapitalproperties.com; jcapellan@hakimian.com,Adam Hakimian; Jim Meyer,"CEO; Founder, Managing Partner",adam@hakimianorg.com; jmeyer@atlanticcapitalproperties.com,Negotiating,Yes,Yes,Yes,Yes
Soma,"25 Water Street, New York, NY 10004",,2025,"$4,130-$12,795",1320,GFP Real Estate,,,,,,,,Yes,Yes,Yes,No
South Park Tower,"124 W 60th St, New York, NY 10023",,1986,"$4,550-$8,450",498,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
South Pierre,"160 West 71st Street, New York, NY 10023",,1923,"$2,800-$4,300",303,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
Stella,"10 LeCount Place, New Rochelle, NY 10801",,2022,"$2,500-$4,200",380,LMXD,Bob Faith,"Founder, Chairman & CEO",bob@greystar.com,General Leasing; Lisa Gomez; Ron Moelis; Sarah Byrne; Scott Hall,Director of Communications + Marketing,leasing@ccmanagers.com; lgomez@lmdevpartners.com; rmoelis@lmdevpartners.com; sbyrne@lmdevpartners.com; shall@lmdevpartners.com,,Yes,Yes,Yes,Yes
Sunrose Tower,620 W 153rd St,Upper West Side,2023,3200-5575,238,The Jay Group,Raymond Werdane; Shimon Drummer,Leasing/Marketing Agent; Director of New Developments,info@bohemiarealty.com; shimon@jaygroupny.com,Jacob Kohn,Principal,info@jaygroupny.com,Negotiating,Yes,Yes,Yes,Yes
Sven,29-59 Northern Blvd,LIC,2022,"$3,348-$6,959",958,The Durst Organization,,,,Corporate Phone; Dan Mogolesko; Emmanuelle Slossberg; Joy Habian; Sven Leasing Office; Sven Leasing Team,"EVP, Director of Leasing",dmogolesko@durst.org; eslossberg@durst.org; jhabian@durst.org; svenleasing@durst.org,,Yes,Yes,Yes,Yes
Terra,"45-19 Davis Street, Long Island City, NY 11101",LIC,2024,"$3,397-$7,300",122,ZD Jasper Realty,,,,Andover Property Management Leasing; General Inquiry; General Leasing; Hong Lihua; Jasper Wu; Susan Wu,General; Chief Operations Officer,info@zdjasper.com; leasing@andoverpm.com; lihua@andoverpm.com; jasper@zdjasper.com; west37@zdjasper.com,,Yes,Yes,Yes,Yes
The Archive,"666 Greenwich Street, New York, NY 10014",,1988,"$8,250-$10,650",479,Rockrose Development,Justin Elghanayan,President,justin.elghanayan@rockrose.com,Alyssa Brennan; Anthony Grimaldi; Cassandra Andino; Henry Elghanayan; Linc LIC Leasing Office,SVP Residential Leasing and Marketing,alyssa.brennan@rockrose.com; anthony.grimaldi@rockrose.com; cassandra.andino@rockrose.com; henry.elghanayan@rockrose.com,,Yes,Yes,Yes,Yes
The Art House,"148 First Street, Jersey City, NJ 07302",,2014,"$2,895-$5,495",119,SB Development / The Shuster Group,,,,,,,,Yes,Yes,Yes,No
The Baltic Canal,"526 Baltic Street, Brooklyn, NY 11217",Boerum Hill,2025,"$3,380-$6,340",96,Watermark Capital; Watermark Capital Group,Meilech Eisenberg,Broker,meilech@wmcap.com,Wolfe Landau,Founding Partner,wlandau@wmcap.com,,Yes,Yes,Yes,Yes
The Beach,"180 River Drive, Jersey City, NJ 07310",,2020,"$2,850-$12,000",336,LeFrak,Arthur Kosmider,"Sr. Dir., Marketing & Resident Experience",akosmider@lefrak.com,,,,,Yes,Yes,Yes,Yes
The Beaux Arts,"307-310 East 44th Street, New York, NY 10017",,1930,"$3,000-$4,600",627,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
The Bellslip,"1 Bell Slip, Brooklyn, NY 11222",,2022,"$3,352-$7,037",414,Brookfield Properties,Danielle Nuccio,Marketing Director,danielle.nuccio@brookfieldproperties.com,,,,,Yes,Yes,Yes,Yes
The Bold,"27-01 Jackson Ave, Long Island City, NY 11101",,2024,"$3,500-$7,000",164,Fetner Properties / Lions Group / BLDG,Sophie Scott,VP of Leasing and Marketing,sscott@fetner.com,,,,,Yes,Yes,Yes,Yes
The Brook,"567 Fulton Street, Brooklyn, NY 11201",Downtown Brooklyn,2025,"$4,305-$9,880",591,Witkoff; Witkoff Group; Witkoff Group; Apollo Global Management,Lauren Witkoff,"EVP, Sales & Marketing",witkoffl@witkoff.com,Lauren Witkoff,"Executive Vice President, Sales & Marketing",,,Yes,Yes,Yes,Yes
The Brooklyn Tower,"55 Fleet Street, Brooklyn, NY 11201",,2025,"$4,254-$15,375",398,Silverstein Properties,Dara McQuillan,Chief Marketing & Communications Officer,dmcquillan@silvprop.com,,,,,Yes,Yes,Yes,Yes
The Carteret,"208 West 23rd Street, New York, NY 10011",,1927,"$2,700-$7,800",262,The Brodsky Organization,Alexander Brodsky,Principal,abrodsky@brodskyorg.com,Dean Amro; Joe Porritt; Michelle Frucht; Rick Mason; Thomas Brodsky,"Director, Leasing and Marketing",damro@brodskyorg.com; jporritt@brodskyorg.com; mfrucht@brodskyorg.com; rmason@brodskyorg.com; tbrodsky@brodskyorg.com,,Yes,Yes,Yes,Yes
The Cortland,"555 West 22nd Street, New York, NY 10011",,2022,"$12,500-$25,500",144,Related Companies,Jill Singer Graeber,Marketing Director,jsgraeber@related.com,,,,,Yes,Yes,Yes,Yes
